id,product_name,product_price,quantity,product_photo
689,Wembley Bow and Arrow Archery Set for Kids and Adults - Includes Target Board,474.00,1 set,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/0ed1d055-8f6b-4a46-abe5-1cda49c4c864.jpeg"
690,Beauty Set Trolley With Wheels,1214.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/9594a1a4-9baa-4e9b-9963-d129b929624d.jpg"
691,Toybharat Super Bike Travel Toy | Multicolour | Perfect Birthday Gift,121.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/47e10574-890e-4571-a0b3-edc67fbc3d9d.jpeg"
692,Nerf Elite 2.0 Ace SD-1 Blaster: Compact Foam Dart Toy for Action-Packed Fun | Toy Gun,342.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/665f9f42-6300-4531-a035-41ddec2225c6.jpeg"
693,Toybharat Friction-Powered Gear Bus | Fun Birthday Gift for Kids - Multicolour,294.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/36cc4c40-7cfd-44cb-a83a-edf4da82f326.jpeg"
694,Toybharat Push N Go Fire Brigade Toy for Kids | Fun Travel Toy and Birthday Gift,186.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/33621786-ff5e-4a56-b314-e24c7d8123af.jpeg"
695,COMIC JEEP Toy - Fun Adventure Vehicle for Kids - Multicolor | Assorted,390.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-5277-5277,pr-true,f-auto,q-80/cms/product_variant/93a8c5aa-b5e3-4d4e-8fb7-80458f8e7014.jpg"
696,Toybharat Push N Go Tractor for Kids | Perfect Travel Toy and Birthday Gift,248.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/064fcc41-eabe-4973-ad49-08773b4ea9e4.jpeg"
697,Desi Toys Gilli Danda Set - Traditional Outdoor Game for Children,185.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/bbf67b20-a878-4f17-92ab-4fea9b9ca771.jpeg"
698,DearJoy Small Sleeping Panda Soft Toy,202.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/bb7d9933-8dc5-4891-b18a-b9ce150dc1a2.jpg"
699,Babique Octopus Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (17 cm),171.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/fb513b22-63df-4967-920d-91f097735289.jpeg"
700,"Babique Unicorn Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Assorted)",201.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/ea25b399-18ca-41a8-9655-2cdbfb052119.jpeg"
701,Babique Cat Flower Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (20 cm) - Assorted,231.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/f20a2ccf-894a-41a8-bec9-427b767c9c3b.jpg"
702,Babique Reversible Carrot Plush Soft Toy Cute Kids Animal Home Car Decor Kids Birthday Boys/Girls/Baby (Pink) 25 cm,403.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1448-1500,pr-true,f-auto,q-80/cms/product_variant/1df0754a-ad94-48f1-bd2e-149e5e93be11.jpeg"
703,DearJoy Tweety Bird Soft Toy - Yellow,212.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/57ec175b-176c-497f-8531-252c182e77d3.jpeg"
704,"Babique Elephant Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Blue, 30 cm)",352.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/1a92d839-b9b4-4047-9fce-931314d02a54.jpeg"
705,DearJoy Elephant Shaped Baby Pillow - Grey,596.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-833-833,pr-true,f-auto,q-80/cms/product_variant/27a9c8ae-864d-4868-875f-e4da1aee1b6e.jpeg"
706,Babique Monkey\s Cuddly Couple Soft Toys Plush Stuffed Teddy Bear for Kids Birthday Gift (Pink),322.00,1 pack (2 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-700-700,pr-true,f-auto,q-80/cms/product_variant/e821c4bb-efe1-43e8-bf60-d1d73c6761ef.jpg"
707,Babique Dog Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls White (25 cm),221.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/010a7f45-1811-491d-a868-1fc88ee518fa.jpeg"
708,Sterling Elephant Sitting Plush Soft Toy Animal Baby Boys & Girls 30 Cm - Blue,289.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1473-1500,pr-true,f-auto,q-80/cms/product_variant/162916d1-c27e-432b-8094-e7c8bb7e8720.jpg"
709,DearJoy Little Penguin Soft Toy - Black,212.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/aa241e67-f659-4e31-901a-8735cbce7769.jpeg"
710,Babique Rattle Ball Plush Soft Toy Cute Kids Home Decor Boys/Girls/Baby (10 cm),150.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/795dd1b1-4a5d-4915-a625-58a2c09930c9.jpeg"
711,"Babique Rabbit Plush Cute Rabbit Soft Toys Animal Home Decor Baby/Boys/Girls (Pink, 26 cm)",211.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/2713bb4a-23df-49f3-8593-f57d2d662b0b.jpeg"
712,"Babique Unicorn Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Yellow)",201.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/8eb57b67-96c0-4d42-bad0-859db8de2e59.jpg"
713,Webby Green Soft Dinosaur Plush Stuffed Toy 30cm,349.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/895ff92a-2b34-4c3a-aee6-f6f16af18468.jpg"
714,Sterling Dog Plush Soft Toy For Kids (6411) | 2 Months+ | 26 cm - White,201.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/80c5ea1e-ddd4-4de3-9854-e30dbbf06344.jpeg"
715,DearJoy Avocado Panda Teddy Soft Toy Stuffed Animal Toy,364.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4fb321d8-7127-4b80-a6fc-e1bfe7c67a0b.jpg"
716,"Webby Soft Animal Plush Elephant Toy 20cm, Blue & Grey",217.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/fb705614-8d33-4797-a650-04944ba1e5a4.jpeg"
717,Sterling Monkey Animal Plush Soft Toy Animal Baby Boys & Girls28 Cm,150.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/31d36079-8339-41e5-bb1d-36d83a80a99b.jpeg"
718,Babique Dog Cute Plush Soft Toys for Kids Birthday Gift 26 cm White,211.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/1d31096d-2724-48e2-9f88-662cfa2c381b.jpeg"
719,Sterling Teddy Bear Plush Soft Toy Boys & Girls 25 Cm - Pink,201.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/c84263bc-03d6-4e2c-97ac-fa54ab41011c.jpeg"
720,Babique Elephant Stuffed Soft Toy For Kids (19 cm) - Assorted,162.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/57f9adf0-b4d8-4de5-880b-ec993e93102e.jpeg"
721,"Webby Plush Husky Dog Stuffed Animal Puppy Soft Toy, Adorable Gifts for Kids and Adult, 30CM (Grey)",393.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/de44ef9d-524f-4c0c-996e-7c6de9aee8e8.jpeg"
722,Webby Octopus with Keychain Plush Stuffed Animal Toy Assorted - 1piece,149.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4cd52e69-5c08-4a58-b350-9af9c36d2f48.jpeg"
723,Babique Ball Alphabetic Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm ABCD),240.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/b2360a17-6dbd-4db6-9302-b2d06c9b8dd9.jpeg"
724,Babique Rabbit Ball Stuffed Soft Toy For Kids| 19 cm - Assorted,158.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/42ee7d5b-e740-4d7e-b70e-6293aceb0da8.jpeg"
725,Babique Monkey Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (28 cm),211.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/6b2405b7-70d0-4e9d-9999-a85127d78a79.jpeg"
726,Sterling Soft Toys- Smiley Devil Cushion,125.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/f59fa4eb-b705-4620-843c-f6b0d5e7db22.jpeg"
732,Kaju Katli Classic | Kaju Barfi | Sweets | By GO DESi,207.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/67a1aa3c-4eec-422b-986f-853854e59357.jpeg"
733,"Crushed Peanut Chikki 30 Pcs, By GO DESi",300.00,450 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/a0e22865-7e47-4e4b-91bd-7c1d3ae69d1e.jpeg"
734,Lal Sweets Motichoor Laddu,117.00,200 g,"https://cdn.zeptonow.com/production/tr:w-0.98,h-0.98,f-auto/cms/product_variant/ea8859bd-3a63-4c2f-a0b3-de580fbb5bfa.jpeg"
735,Lal Milk Cake Signature,148.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1021-1021,pr-true,f-auto,q-80/cms/product_variant/d9637523-ae76-4590-ad97-81d3c1dd8641.jpeg"
736,Mysore Pak | Sweets By GO DESi,133.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/62ed7203-64b5-4647-9347-b92fd541c707.jpeg"
737,Lal Dharwad Peda,131.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-800-800,pr-true,f-auto,q-80/cms/product_variant/ccd0766c-e76a-4d0c-ac56-cf524320de96.jpeg"
738,Lal Kaju Katli,224.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-6004-6004,pr-true,f-auto,q-80/cms/product_variant/400c8917-7bf1-4657-8531-88abaaf8246f.jpeg"
739,Lal Mysore Pak Premium,131.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-6004-6004,pr-true,f-auto,q-80/cms/product_variant/a53f657f-6eba-4b99-8a1c-8b5c0e43364f.jpeg"
740,Besan Laddoo | With Ghee | Laddu | Sweets by GO DESi,118.00,180 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/bcae4452-04a6-40e7-a6b2-e6b48bd079ec.jpeg"
741,"Premium Kaju Katli, 61% Cashew | Burfi | Kaju Katri | Sweets by GO DESi",230.00,180 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/c85d4245-6dfc-4c9d-bc04-2231f435f86c.jpeg"
742,"Pista Coconut Barfi, 8 Pcs | Burfi | Sweets | By GO DESi",120.00,96 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-6000-6000,pr-true,f-auto,q-80/cms/product_variant/fe37f74b-2a21-420a-8d20-040ad880bdf9.jpeg"
743,Mini Gulab Jamun Tin,59.00,225 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/98176831-1213-46fc-868c-3f2d3456d53e.jpg"
744,"Dry Fruit Barfi, 6 Pcs | No Added Refined Sugar | Single Packs | Burfi | Sweets | By GO DESi",166.00,120 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/21e0dcbd-5abd-48ef-94dd-883989aa6e4d.jpeg"
745,Gits Mini Rasgulla Tin,58.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/98513fe3-ace5-45f0-b344-f1dea1dbdd8b.jpg"
746,Lal Horlicks Burfi Signature,148.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-6004-6004,pr-true,f-auto,q-80/cms/product_variant/e8e718cb-2e02-4239-9eff-d436cd63e0d1.jpeg"
747,Gits Rasgulla Open & Eat (Tin),204.00,1 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/99850c02-ff84-41d1-a10a-02c5a5d1f2d0.jpg"
748,Lal Sweets Ghee Kesariya Motichoor Laddoo,163.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/06c6f140-9de3-4889-8c74-af6ac0c7298c.jpg"
749,Lal Gulab Jamun,224.00,1 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-750-750,pr-true,f-auto,q-80/cms/product_variant/2f1816e5-aadb-4153-a45f-015c297a367e.jpg"
750,Lal Mango Burfi,140.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-6004-6004,pr-true,f-auto,q-80/cms/product_variant/d8a6ab6d-1ddf-40d7-98cb-3f6b20f7b09d.jpeg"
751,Gits Gulab Jamun Open & Eat (Tin),204.00,1 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/71c9055b-0501-4ce3-8685-d4ac4ea39189.jpg"
752,Lal Sweets Choco Almond Burfi,160.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/1c932e79-6fc9-4a71-959d-204f9cd4950d.jpg"
753,Lal Sweets Jaggery Kaju Katli,238.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/3ef36029-eb06-4e2c-9e17-a7771d0a520c.jpg"
754,Dry Fruits Halwa Signature,139.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/9e149982-b093-48df-8764-a267ff4aae69.jpg"
755,Mini Gulab Jamun,242.00,1 Kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/inventory/product/528add4d-91ae-4413-a26b-efd280b15537-/tmp/20230224-1156581.jpeg"
757,Mini Rasgulla,240.00,1 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/inventory/product/2917018a-de0e-478b-a9a4-5c628521945a-/tmp/20230224-1327331.jpeg"
758,Lal Soan Papdi Premium,75.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-6004-6004,pr-true,f-auto,q-80/inventory/product/4651a6a3-8a7c-4694-85b9-174679a8b2a7-/tmp/20230914-0419541.jpeg"
759,Amul Besan Laddoo,120.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/8b62cf75-4ec8-401c-8a1b-3e020881fb45.jpeg"
760,MTR Ready To Eat Gulab Jamun Tin,233.00,1 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/8b904965-0873-4b72-98fe-25f421b2e227.jpeg"
761,GRB Rasogolla,80.00,300 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/8f03e845-6380-4561-983a-7904fa1adaaf.jpg"
762,Grb Mysorepak,163.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/9f074158-1185-46e4-8c3d-b1aa2d36f600.jpeg"
763,Sweet Karam Coffee Peanut Chikki Bites,85.00,150 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/44067f81-769c-4ae6-9d7f-a03cf8b909ff.jpeg"
821,Minus 30 Vanilla Mini Stick Vegan & Sugar Free,124.75,40 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/ec6c8ae7-e927-407f-aafc-8b78b9f90de8.jpg"
822,Get-A-Way Brownie Crunch Ice Cream Stick,99.00,70 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1001-1001,pr-true,f-auto,q-80/cms/product_variant/b334d81a-1dc0-4b25-8583-3f8495332290.jpeg"
823,Minus 30 Strawberry Mini Stick Vegan & Sugar Free,125.00,40 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/0f30f96c-f5b7-4b34-bcaf-3c4affcd4443.jpg"
824,Noto Chocolate Brownie Bar Ice Cream Stick,155.00,80 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/4f9284e9-8290-452d-a789-14d4fc8cdcda.jpeg"
825,Get-A-Way Choco Hazelnut Crunch Ice Cream Stick,99.00,70 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1001-1001,pr-true,f-auto,q-80/cms/product_variant/e02f05e8-a824-4cf6-8658-73488db74bfa.jpeg"
826,Baskin Robbins Raspberry Vanilla Doublet Bar Ice Cream Stick,60.00,65 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/5b1cf02d-116c-4f32-b1bf-8d546f7256af.jpeg"
827,Kwality Wall\s Cornetto Double Chocolate Cone,40.00,80 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/f71becc0-903f-4439-bc43-dd531dff4536.jpeg"
828,Amul Gold TriCone Butterscotch Ice Cream Cone,40.00,120 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/c6efd14b-a923-49d1-8f5c-dfce933211df.jpeg"
829,Hocco Hazelnut Mudslide Ice Cream Cone,90.00,135 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1250,pr-true,f-auto,q-80/cms/product_variant/e0bc9166-8bad-43ae-9463-d1aa1c6ba477.jpeg"
830,Amul Gold TriCone Chocolate Ice Cream Cone,50.00,120 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-900-900,pr-true,f-auto,q-80/cms/product_variant/7aee2d5b-762a-44d1-a158-f4bb9bb84a38.jpg"
831,Havmor Dark Chocolate Ice Cream Cone,50.00,110 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/24716755-788b-4bba-8b76-3ed647472c6c.jpeg"
890,Baskin Robbins Super Strawberry Surprise Ice Cream Cone,95.00,110 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/955d3e3e-9be1-4df0-85ab-6c064f58c2c1.jpg"
801,Go Zero Mango Duet Low Calorie Guilt Free Ice Cream Stick,113.00,60 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-4167-4168,pr-true,f-auto,q-80/cms/product_variant/3144f221-2efa-41a3-b2cb-5be35c5b86bd.jpeg"
802,Hocco Tiramisu Boss Bar Ice Cream Stick,70.00,90 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/e4f941c4-b7b6-4361-ba3c-29568c118ad4.jpeg"
803,Baskin Robbins Mango Mania Candy Ice Cream Stick,60.00,65 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/e92d2016-d255-48b5-bdcb-a13fb6c67c61.jpg"
804,Kwality Wall\'s Feast Cadbury Crackle Stick,70.00,70 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/d671f6f0-9d22-4426-83d1-e4bf84441a37.jpeg"
805,Kwality Wall\'s Magnum Chocolate Truffle Ice Cream Stick,80.00,63 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-5000-5000,pr-true,f-auto,q-80/cms/product_variant/3554079f-7eec-465d-9a89-c69a62ba748d.jpeg"
806,Kwality Wall\'s Magnum Brownie Ice Cream Stick,80.00,61 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-5000-5000,pr-true,f-auto,q-80/cms/product_variant/8565f4a5-09b0-4d74-8438-9b8efe2c577b.jpeg"
807,Kwality Walls Magnum Classic Ice Cream Stick,70.00,59 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-5000-5000,pr-true,f-auto,q-80/cms/product_variant/edafffb7-7564-4f45-a22a-5fc6f049c1c4.jpeg"
808,Go Zero Madagascar Chocolate Low Calorie Guilt Free Ice Cream Bar,122.00,70 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-521-521,pr-true,f-auto,q-80/cms/product_variant/42452076-e42f-4437-aec7-037ea70cbfed.jpeg"
809,Go Zero Raspberry Duet Low Calorie Guilt Free Ice Cream Stick,113.00,60 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-2084-2084,pr-true,f-auto,q-80/cms/product_variant/d011a2b3-15bd-4e9e-8dfb-e4cd59d2481a.jpeg"
810,Baskin Robbins Hazelnut Ice Cream Stick,85.00,65 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/77128517-85aa-43e4-b9aa-cc31b6e9c2ea.jpeg"
811,Arun Ibar Mini Almond Crunch Ice Cream Stick,80.00,80 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1021-1021,pr-true,f-auto,q-80/cms/product_variant/f5286c72-19bf-4850-8972-1cb5e5ca34ef.jpeg"
812,Hocco Chocaboom Bar Ice Cream Stick,50.00,80 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-2000,pr-true,f-auto,q-80/cms/product_variant/57f23de0-b93c-40c6-aaaa-7a00eedaff30.jpg"
813,Hocco Death By Chocolate Boss Bar Ice Cream Stick,70.00,90 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/b68263f5-6390-40fb-bafc-70564b75d936.jpeg"
814,Dairy Day Nutty Ice Cream Stick,30.00,65 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/dbd4aaf7-4dde-4bb3-92e0-576bb9e158fd.jpg"
815,"Fruitchill Ice Pops/ Frozen Juice Bars Multipack- Mango, Strawberry, Orange, Nimboo, Grape",199.00,700 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/4edf315d-2d14-4e5d-ae9a-fd6ac597c61d.jpeg"
816,"Fruitchill Ice Pops/Frozen Juice Bars Multipack- Mango, Strawberry, Orange, Nimboo, Grape",99.00,350 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/8d90cdd4-8320-4ef3-b9d9-7e96e741aa9a.jpeg"
817,Amul Epic Strawberry Twist Gold Ice Cream Stick,100.00,80 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/f1dcf14b-22f7-4b11-a5df-bfa9c2e5f5a5.jpg"
818,Hocco Bijlee Juicy Ice Cream Stick,125.00,70 ml,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/8b2b47bc-0850-449c-a3d6-1dc7be418c45.jpg"
